town,item,price 
New Delsta Flats (Black Market),Bottle of Blinding Dust,$600
New Delsta Flats (Black Market),Bottle of Poison Dust,$600
New Delsta Flats (Black Market),Bottle of Sleeping Dust,$600
New Delsta Flats (Black Market),Bottled Nightmares,$3000
New Delsta Flats (Black Market),Champion's Sword,$11000
New Delsta Flats (Black Market),Crested Greatshield,$3300
New Delsta Flats (Black Market),Critical Ring,$3000
New Delsta Flats (Black Market),Darkdelion,$60
New Delsta Flats (Black Market),Diffusing Serum,$3000
New Delsta Flats (Black Market),Dual Flower,$1200
New Delsta Flats (Black Market),Elemental Robe,$9100
New Delsta Flats (Black Market),Empowering Ring,$3000
New Delsta Flats (Black Market),Falcon Ring,$3000
New Delsta Flats (Black Market),Feather Shield,$6900
New Delsta Flats (Black Market),Fire Soulstone,$700
New Delsta Flats (Black Market),Fire Soulstone (M),$1700
New Delsta Flats (Black Market),Flail,$22000
New Delsta Flats (Black Market),Fumbling Flower,$100
New Delsta Flats (Black Market),Gelid Helm,$4200
New Delsta Flats (Black Market),Guard's Great Axe,$7000
New Delsta Flats (Black Market),Herb Elixir,$600
New Delsta Flats (Black Market),Herb-of-Grace Bud,$1980
New Delsta Flats (Black Market),Horned Helm,$5000
New Delsta Flats (Black Market),Ice Soulstone,$700
New Delsta Flats (Black Market),Ice Soulstone (M),$1700
New Delsta Flats (Black Market),Light Soulstone,$700
New Delsta Flats (Black Market),Light Soulstone (M),$1700
New Delsta Flats (Black Market),Lily of the Light,$60
New Delsta Flats (Black Market),Old Armor,$400
New Delsta Flats (Black Market),Pomegranate Leaf,$1000
New Delsta Flats (Black Market),Quartz Dagger,$18000
New Delsta Flats (Black Market),Rosary of Redemption,$3000
New Delsta Flats (Black Market),Sailor's Bow,$9000
New Delsta Flats (Black Market),Sandstorm Spear,$10000
New Delsta Flats (Black Market),Shadow Soulstone,$700
New Delsta Flats (Black Market),Shadow Soulstone (M),$1700
New Delsta Flats (Black Market),Shady Grape Bunch,$1480
New Delsta Flats (Black Market),Shady Inspiriting Plum,$4460
New Delsta Flats (Black Market),Silver Locket,$1800
New Delsta Flats (Black Market),Thunder Soulstone,$700
New Delsta Flats (Black Market),Thunder Soulstone (M),$1700
New Delsta Flats (Black Market),Unerring Ring,$3000
New Delsta Flats (Black Market),Wargod's Talisman,$1800
New Delsta Flats (Black Market),Wind Soulstone,$700
New Delsta Flats (Black Market),Wind Soulstone (M),$1700
New Delsta Flats (Black Market),,
New Delsta Flats (Black Market),,
New Delsta Flats (Black Market),,
New Delsta Flats (Black Market),,
New Delsta Flats (Black Market),,
New Delsta Flats (Black Market),,
Oresrush,Bone Spear,$2300
Oresrush,Bronze Shield,$2300
Oresrush,Buckler,$600
Oresrush,Darkdelion,$60
Oresrush,Feathered Hat,$1600
Oresrush,Fumbling Flower,$100
Oresrush,Fur Armor,$400
Oresrush,Giant Bow,$2500
Oresrush,Grape Leaf,$40
Oresrush,Healing Grape,$50
Oresrush,Heavy Blade,$15000
Oresrush,Herb of Awakening,$30
Oresrush,Herb of Clarity,$30
Oresrush,Inspiriting Plum,$240
Oresrush,Kukri,$7000
Oresrush,Olive of Life,$500
Oresrush,Shortbow,$800
Oresrush,Silver Locket,$1800
Oresrush,Silver Sword,$9000
Oresrush,Spear,$800
Oresrush,Steel Bow,$15000
Oresrush,Stimulating Earring,$280
Oresrush,Traveler's Mantle,$3100
Path to the Tomb of the Wardenbeasts,Buckler,$600
Path to the Tomb of the Wardenbeasts,Fur Armor,$400
Path to the Tomb of the Wardenbeasts,Handaxe,$800
Path to the Tomb of the Wardenbeasts,Healing Grape,$50
Path to the Tomb of the Wardenbeasts,Inspiriting Plum,$240
Prison: Underground Passage,Cloth Hood,$200
Prison: Underground Passage,Healing Grape,$50
Prison: Underground Passage,Inspiriting Plum,$240
Prison: Underground Passage,Olive of Life,$500
Roque Island,Critical Bracelet,$6500
Roque Island,Diffusing Serum,$3000
Roque Island,Giant Shield,$20500
Roque Island,Gimmick Goggles,$13000
Roque Island,Gravity Lance,$60000
Roque Island,Healing Grape (M),$260
Roque Island,Herb of Clamor,$30
Roque Island,Herb of Healing,$30
Roque Island,Herb of Light,$30
Roque Island,Inspiriting Plum (M),$900
Roque Island,Master's Greatbow,$55000
Roque Island,Olive of Life (M),$3000
Roque Island,Quick Cloak,$24000
Roque Island,Rare Metal Glaive,$54000
Roque Island,Strengthening Serum,$4000
Roque Island,Swift Shield,$18000
Ryu,Blusterbloom,$60
Ryu,Bronze Helm,$1600
Ryu,Copper Breastplate,$3100
Ryu,Crested Greatshield,$3300
Ryu,Fur Armor,$400
Ryu,Healing Grape,$50
Ryu,Herb of Clamor,$30
Ryu,Herb of Light,$30
Ryu,Inspiriting Plum,$240
Ryu,Iron Axe,$7000
Ryu,Kite Shield,$2300
Ryu,Leather Helm,$200
Ryu,Long Spear,$2200
Ryu,Long Sword,$800
Ryu,Nameless Sword,$2400
Ryu,Olive of Life,$500
Ryu,Plum Leaf,$200
Ryu,Sandstorm Spear,$10000
Ryu,Sprightly Earring,$280
Ryu,Sticky Flower,$100
Ryu,War Glaive,$7500
Ryu,Wargod's Talisman,$1800
Sai,Battle Bandana,$2600
Sai,Battle Hatchet,$8000
Sai,Crested Greatshield,$3300
Sai,Darkdelion,$60
Sai,Dojo Hakama,$8700
Sai,Doombreaker,$34000
Sai,Dual Flower,$1200
Sai,Empowering Ring,$3000
Sai,Fighter's Headband,$8300
Sai,Great Blade,$36000
Sai,Healing Grape,$50
Sai,Healing Grape (M),$260
Sai,Herb of Light,$30
Sai,Herb of Revival,$30
Sai,Inspiriting Plum,$240
Sai,Iron Mail,$4400
Sai,Lightning Glaive,$35000
Sai,Little Crow,$21000
Sai,Olive of Life,$500
Sai,Pirate's Axe,$37000
Sai,Plum Leaf,$200
Sai,Rock Cleaver,$20000
Sai,Spiked Shield,$6500
Sai,Stealthy Knife,$23000
Sai,Warding Leaf,$100
Southern Ku Sands,Buckler,$600
Southern Ku Sands,Fur Armor,$400
Southern Ku Sands,Healing Grape,$50
Southern Ku Sands,Inspiriting Plum,$240
Southern Ku Sands,Spear,$800
Stormhail,Aegis Mace,$36000
Stormhail,Aegis Shield,$18000
Stormhail,Aegis Sword,$37000
Stormhail,Diffusing Serum,$3000
Stormhail,Enfeebling Flower,$150
Stormhail,Expert's Bow,$35000
Stormhail,Great Helm,$13000
Stormhail,Guardian's Axe,$23000
Stormhail,Healing Grape (M),$260
Stormhail,Heavy Greatshield,$11500
Stormhail,Herb of Clarity,$30
Stormhail,Herb of Healing,$30
Stormhail,Herb of Revival,$30
Stormhail,Hyperion Spear,$55000
Stormhail,Inspiriting Plum (M),$900
Stormhail,Knight's Armor,$15200
Stormhail,Knight's Helm,$5400
Stormhail,Olive of Life (M),$3000
Stormhail,Paladin's Lance,$35000
Stormhail,Platinum Hatchet,$37000
Stormhail,Quartz Rod,$36000
Stormhail,Strengthening Serum,$4000
Stormhail,Unerring Bracelet,$6500
Timberain,Aegis Shield,$18000
Timberain,Diffusing Serum,$3000
Timberain,Empowering Bracelet,$6500
Timberain,Healing Grape (M),$260
Timberain,Herb of Awakening,$30
Timberain,Herb of Healing,$30
Timberain,Herb of Revival,$30
Timberain,Imperial Armor,$24000
Timberain,Imperial Axe,$55000
Timberain,Imperial Helm,$13000
Timberain,Inspiriting Plum (M),$900
Timberain,Mighty Leaf,$300
Timberain,Olive of Life (M),$3000
Timberain,Royal Guard's Hatchet,$60000
Timberain,Royal Guard's Helm,$15500
Timberain,Royal Guard's Mail,$26500
Timberain,Strengthening Serum,$4000
Tropu'hopu,Charm Robe,$4800
Tropu'hopu,Conjurer's Staff,$13000
Tropu'hopu,Crystal Dagger,$10000
Tropu'hopu,Dreamy Flower,$1200
Tropu'hopu,Fortune Wand,$33000
Tropu'hopu,Headgear,$2100
Tropu'hopu,Healing Grape,$50
Tropu'hopu,Healing Grape (M),$260
Tropu'hopu,Heavy Bone Spear,$22000
Tropu'hopu,Herb of Healing,$30
Tropu'hopu,Herb of Light,$30
Tropu'hopu,Inspiriting Plum,$240
Tropu'hopu,Knight's Greatbow,$21000
Tropu'hopu,Magus Knife,$20000
Tropu'hopu,Olive of Life,$500
Tropu'hopu,Plum Leaf,$200
Tropu'hopu,Sailor's Vest,$3900
Tropu'hopu,Shell Buckler,$3600
Tropu'hopu,Slashing Glaive,$11000
Tropu'hopu,Sprightly Ring,$3000
Tropu'hopu,Whimsical Leaf,$190
Veil of Trees,Dagger,$800
Veil of Trees,Healing Grape,$50
Veil of Trees,Inspiriting Plum,$240
Veil of Trees,Leather Helm,$200
Veil of Trees,Olive of Life,$500
Wellgrove,Doombreaker,$34000
Wellgrove,Elemental Robe,$9100
Wellgrove,Healing Grape,$50
Wellgrove,Healing Grape (M),$260
Wellgrove,Herb of Awakening,$30
Wellgrove,Herb of Valor,$30
Wellgrove,Horned Helm,$5000
Wellgrove,Inspiriting Plum,$240
Wellgrove,Olive of Life,$500
Wellgrove,Plate Buckler,$7200
Wellgrove,Plum Leaf,$200
Wellgrove,Refined Sword,$20000
Wellgrove,Sticky Flower,$100
Winterbloom,Acrobat's Mantle,$15200
Winterbloom,Black Cap,$5200
Winterbloom,Enfeebling Flower,$150
Winterbloom,Enlightening Ring,$3000
Winterbloom,Falcon Coat,$10100
Winterbloom,Falcon Knife,$9000
Winterbloom,Healing Grape,$50
Winterbloom,Healing Grape (M),$260
Winterbloom,Herb of Awakening,$30
Winterbloom,Herb of Healing,$30
Winterbloom,Horned Helm,$5000
Winterbloom,Inspiriting Plum,$240
Winterbloom,Iron Mail,$4400
Winterbloom,Iron Shield,$3000
Winterbloom,Lily of the Light,$60
Winterbloom,Oak Staff,$19000
Winterbloom,Olive of Life,$500
Winterbloom,Piercing Dagger,$35000
Winterbloom,Silver Hairpiece,$2300
Winterbloom,Silver Hatchet,$22000
Winterbloom,Silver Shield,$6500
Winterbloom,Soldier's Spear,$22000
Winterbloom,Stinging Dagger,$20000
Winterbloom,Strong Axe,$11000
